2014-12-01 21:52:42,823 [Worker-89] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/io/appium/java-client/1.6.1/java-client-1.6.1.pom
2014-12-01 21:52:44,064 [Worker-89] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/io/appium/java-client/1.6.1/java-client-1.6.1.pom
2014-12-01 21:52:46,174 [Worker-89] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/io/appium/java-client/1.6.1/java-client-1.6.1.jar
2014-12-01 21:52:47,455 [Worker-89] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/io/appium/java-client/1.6.1/java-client-1.6.1.jar
2014-12-01 21:52:47,836 [Worker-89] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar
2014-12-01 21:52:49,974 [Worker-89] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar
2014-12-02 07:57:03,157 [Worker-194] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-java/2.44/selenium-java-2.44.pom
2014-12-02 07:57:03,194 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 07:57:07,476 [Worker-194] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-java/2.44/selenium-java-2.44.jar
2014-12-02 07:57:08,093 [Worker-194] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/junit/junit/4.11/junit-4.11.jar
2014-12-02 07:57:10,450 [Worker-194] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/junit/junit/4.11/junit-4.11.jar
2014-12-02 07:57:11,112 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 11:46:43,590 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 11:46:50,033 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 11:49:29,806 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 11:49:30,219 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 12:07:48,477 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 12:07:49,358 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 12:32:34,265 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
2014-12-02 12:32:35,659 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-java:jar:2.44 is missing, no dependency information available
